 , ,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP,Decoupled_SALP_BP
 ,rb_hits,1907243,284508,110943,553791,18377,17396,49435,124023,33209,73935,2066754,2923674,2338912,1006899,16106,0,13228,0,883826,17108,0,765749
 ,rb_miss,3468363,844659,277613,820483,15259,42667,90539,128913,72538,153964,2724605,3778089,11987928,2372316,18076,0,69375,0,1579036,12104,0,1182099
 ,rb_hitrate,0.354796,0.251963,0.285526,0.40297,0.546349,0.289629,0.353173,0.490334,0.314042,0.32442,0.43135,0.436254,0.163254,0.297968,0.471184,0,0.160139,0,0.358861,0.58565,0,0.393126
 ,drc_hits,100536,69,217133,243230,111,180,9332,30953,42400,118541,1004915,2584575,9818768,89994,105,0,213,0,1635668,1221,0,8023
 ,drc_miss,4937529,1035852,96859,674078,19429,43470,86227,140066,37116,67343,2300811,2611853,2516526,3056485,17456,0,69955,0,497327,14540,0,1800191
 ,drc_hitrate,0.0199553,6.66074e-05,0.691524,0.265156,0.00568066,0.00412371,0.0976569,0.180992,0.533226,0.637715,0.303992,0.497375,0.79599,0.0286015,0.00597916,0,0.00303557,0,0.766841,0.0774697,0,0.00443697
 ,drc_missrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,tagCacheHits,3751694,484365,157500,576406,12459,20946,40722,126784,36440,116327,2434525,4174605,2015666,1839235,11977,0,6650,0,1487238,10685,0,1397670
 ,tagCacheMisses,1286373,551557,156492,340904,7082,22705,54838,44235,43077,69559,871203,1021824,10319633,1307245,5584,0,63519,0,645758,5076,0,410545
 ,tagcache_hitrate,0.744669,0.467569,0.501605,0.628366,0.637583,0.479852,0.426141,0.741345,0.458267,0.625798,0.736457,0.80336,0.163406,0.584537,0.682023,0,0.0947712,0,0.697253,0.677939,0,0.772956
 ,src_hits,20226,420,541095,74838,3482,1533,11849,46925,170645,378211,75907,135324,2392133,9784,3631,0,1656,0,494663,11546,0,18498
 ,src_misses,411613,93280,194884,87382,13969,16471,17445,22695,61335,65497,264302,428897,1075785,259529,16726,0,12575,0,204542,14672,0,141753
 ,src_hitrate,0.0468369,0.00448239,0.735204,0.461336,0.19953,0.0851477,0.404486,0.674016,0.735602,0.852387,0.223119,0.239842,0.689789,0.0363295,0.178366,0,0.116366,0,0.707465,0.440384,0,0.115431
